"Group","SampleID","Easting.planned","Northing.planned","Easting.GPS","Northing.GPS","EC","pH","ICPOES_Vial_no","Group_no","Sample_no","Al","As","Ba","Ca","Cd","Ce","Co","Cr","Cu","Fe","Ga","Gd","K","La","Li","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","Rb","S","Sc","Sr","Th","Ti","V","Y","Zn"
8,"LCS23_039",384667,6461756,384667,6461756,NA,NA,38,8,54,4163,3,14,8820,0.09,8,0.7,15,12,3027,-1,0,313,4,5,475,26,0,154,2,3,231,11,3,375,0,32,1,92,6,2,52
8,"LCS23_040",384634,6461765,384634,6461765,NA,NA,48,8,55,2019,1,7,22526,0.05,3,0.3,6,3,1376,-1,0,155,2,3,896,13,0,186,0,1,125,7,1,189,0,149,1,61,3,1,22
9,"LCS23_041",384778,6462335,384778,6462335,83.3,7.48,6,9,41,5329,3,11,8141,0.1,6,0.6,12,12,4944,-1,0,188,3,3,350,22,0,80,1,2,177,52,1,188,1,26,2,126,16,2,66
9,"LCS23_042",384779,6462289,384779,6462289,83.3,7.8,16,9,42,4180,3,15,17751,0.16,6,0.9,9,7,3252,-3,0,354,4,5,758,53,0,152,1,2,274,43,3,401,0,80,2,191,7,2,101
9,"LCS23_043",384779,6462198,384779,6462198,47.2,8.14,26,9,43,4779,3,13,6701,0.05,6,0.6,13,3,4563,-1,0,212,3,3,263,19,0,80,1,1,185,14,1,171,0,24,1,116,11,1,35
9,"LCS23_044",384779,6462246,384779,6462246,69.5,8.33,36,9,44,4469,4,8,3094,0.02,10,0.4,18,2,2990,-2,0,211,4,3,198,17,0,69,3,1,106,5,1,126,1,10,2,107,7,2,15
9,"LCS23_045",384779,6462153,384779,6462153,54.5,8.37,46,9,45,4681,2,14,4658,0.09,6,0.8,8,6,3430,-7,0,358,3,5,333,30,0,119,1,2,131,30,4,156,0,24,2,257,10,1,49
10,"LCS23_046",384894,6462188,384894,6462188,133.5,9.1,7,10,26,15442,6,16,31437,0.07,14,1.8,23,11,13308,-3,1,329,5,6,880,44,0,274,2,5,212,30,3,306,2,137,5,343,34,3,36
10,"LCS23_047",384851,6462188,384851,6462188,22.66,7.74,37,10,29,5055,3,11,2141,0.03,9,0.5,16,5,3027,-3,0,344,4,4,175,18,0,102,2,2,112,8,2,122,0,8,2,142,7,2,30
10,"LCS23_048",384807,6462188,384807,6462188,27.9,8.02,17,10,47,4768,3,16,5571,0.06,8,0.3,16,23,3437,-1,0,287,3,5,322,22,0,123,2,10,181,13,2,232,0,14,1,113,8,1,49
10,"LCS23_049",384767,6462188,384767,6462188,51.59,8.39,27,10,48,5992,6,22,6339,0.14,11,1.3,16,11,4801,-3,1,294,5,4,460,46,0,914,3,2,339,49,2,279,1,31,2,185,10,3,64
10,"LCS23_050",384715,6462188,384715,6462188,39.09,7.12,47,10,50,4759,3,10,3669,0.03,8,0.3,13,3,2585,-2,0,424,3,4,268,12,0,137,2,1,96,7,2,116,0,22,1,107,6,1,24
