Group,SampleID,Easting.planned,Northing.planned,Easting.GPS,Northing.GPS,Zone,Zone2,EC,pH,PO4.P,Al,As,B,Ba,Ca,Co,Cr,Fe,K,La,Li,Mg,Mn,Mo,Na,Ni,P,Pb ,Rb ,S,Sc,Se,Si,Sr,Zn
7,LCW23_033,384380,6461696,384380,6461682,distDrain,distDrain,4.71,7.91,0.034,0.03,0.1191,0.6817,0.0489,68.9,NA,0.00220,0.0236,102.4676958,0.001880916,0.003557041,111.7994925,0.00412222,0.001,782,0.0010,0.099,0.0049,0.189418994,78.2,NA,0.02,3.86,0.764325772,NA
7,LCW23_034,384380,6461688,384384,6461681,distDrain,distDrain,4.8,7.88,0.28,0.01,0.1144,0.6811,0.0486,67.2,0.0021,0.00212,0.0266,101.6538035,0.001582115,0.003535692,108.7759922,0.003975569,0.001,772,0.0002,0.1,0.00099,0.191277282,77.9,0,0.02,3.85,0.760969696,0.003
7,LCW23_035,384379,6461685,384387,6461678,distDrain,distDrain,4.45,7.92,0.269,0.02,0.1169,0.6770,0.0494,68.7,0.0001,0.00201,0.0232,101.3779787,0.001819083,0.003589041,111.2364075,0.004077769,0.001,782,NA,0.104,0.00495,0.190176221,78.3,0,0.01,3.87,0.786081477,NA
8,LCW23_036,384153,6461772,384154,6461734,distDrain,distDrain,4.26,8.25,0.097,0.03,0.1176,0.6726,0.0485,68.2,NA,0.00152,0.0257,101.5550894,0.001374469,0.002250013,111.2183278,0.003908867,0.001,789,0.0003,0.112,NA,0.190930074,77.4,0,0.02,3.61,0.74687194,0.01
8,LCW23_037,384150,6461728,384152,6461731,distDrain,distDrain,4.1,8.42,0.093,0.02,0.1211,0.6838,0.0489,69.5,0.0018,0.00100,0.0181,101.1599653,0.000915103,0.001939247,112.7104986,0.004007422,0.001,792,0.0007,0.102,NA,0.194627992,78.8,NA,0.01,3.74,0.76709792,NA
8,LCW23_038,384175,6461728,384153,6461729,distDrain,distDrain,4.52,8.26,0.103,0.03,0.1175,0.6752,0.0473,68.2,0.0003,0.00281,0.0322,102.8208157,0.002398348,0.00317464,110.6266165,0.003974723,0.004,781,0.0006,0.11,NA,0.194003969,77.3,0,0.01,3.69,0.774845747,0.001
8,LCW23_039,384191,6461729,384154,6461729,distDrain,distDrain,4.46,8.29,0.088,0.03,0.1214,0.6821,0.0499,69.2,0.0022,0.00145,0.0219,102.6382158,0.001798479,0.003172834,111.8289317,0.00412963,0.001,779,0.0008,0.109,0.00281,0.191130808,78.4,0,0.01,3.73,0.768035392,0.015
8,LCW23_040,384203,6461730,384150,6461773,distDrain,distDrain,4.49,8.25,0.09,0.04,0.1202,0.6814,0.0493,69.6,0.0010,0.00135,0.0158,101.3186516,0.000663761,0.002623488,113.0415707,0.004101281,0.001,783,0.0014,0.104,0.00369,0.191081533,79,0,0.02,3.77,0.770494441,0.014
9,LCW23_041,384399,6461641,384399,6461641,distDrain,distDrain,3.9,8.26,0.331,0.04,0.1168,0.6798,0.0491,70.4,0.0040,0.00137,0.0224,100.9923207,0.002319915,0.003536521,113.6415584,0.004341399,0.001,767,0.0003,0.107,0.01461,0.191815142,78.6,0,0.02,3.93,0.797493279,0.02
9,LCW23_042,384407,6461636,384407,6461636,distDrain,distDrain,3.4,8.04,0.227,0.06,0.1170,0.6767,0.0496,68.8,0.0007,0.00134,0.0238,101.8055488,0.002092562,0.003132638,111.6174772,0.004437051,0.001,765,0.0006,0.105,0.00067,0.190860952,77.4,0,0.01,3.85,0.791782287,0.019
9,LCW23_043,384461,6461618,384461,6461618,distDrain,distDrain,3.4,8.16,0.041,0.04,0.1152,0.6661,0.0483,68.3,0.0006,0.00174,0.0142,100.5604611,0.0016745,0.002392191,110.5615991,0.004712326,0.002,771,0.0003,0.099,0.00785,0.186985485,77.1,NA,0.01,3.84,0.762431155,NA
9,LCW23_044,384462,6461595,384462,6461595,distDrain,distDrain,3.6,7.17,0.066,0.05,0.1138,0.6653,0.0490,70.6,0.0006,0.00156,0.0326,101.246047,0.001120685,0.001840488,112.1351279,0.005189875,0.001,762,0.0012,0.103,0.01412,0.188609505,77.3,0,0.02,3.77,0.783626625,NA
9,LCW23_045,384462,6461558,384462,6461558,distDrain,distDrain,3.5,8.02,0.49,0.05,0.1146,0.6631,0.0490,69.2,0.0022,0.00156,0.0287,101.2022621,0.002290588,0.00244509,110.655901,0.006113016,0.001,770,0.0015,0.1,NA,0.19084887,76.9,NA,0.02,3.72,0.765555397,0.022
10,LCW23_046,384466,6461463,384463,6461446,nearDrain,nearDrain,5.07,8.13,0.33,0.06,0.1207,0.6712,0.0488,69.7,0.0001,0.00147,0.0178,101.1684682,0.001842715,0.002825743,112.3114138,0.004817369,0.001,767,0.0003,0.103,0.00958,0.189398725,78,0,0.01,3.74,0.776852092,0.003
10,LCW23_047,384469,6461399,384473,6461395,nearDrain,nearDrain,5.13,8.13,0.205,0.04,0.1182,0.6640,0.0491,69.8,NA,0.00158,0.0395,102.1013311,0.001292717,0.003105453,111.9653141,0.007727526,0.001,759,NA,0.11,NA,0.186956081,76.7,0,0.02,3.82,0.773012782,0.014
10,LCW23_048,384619,6461382,384615,6461385,nearDrain,nearDrain,5.16,8.12,0.108,0.05,0.1141,0.6646,0.0478,68.8,0.0013,0.00083,0.0212,101.4973576,0.001978742,0.002627263,111.0204285,0.005568768,0.002,777,0.0003,0.111,0.00393,0.186832456,76.8,0,0.01,3.83,0.755600244,NA
10,LCW23_049,384630,6461443,384627,6461443,nearDrain,distDrain,5.23,8.12,0.11,0.05,0.1163,0.6651,0.0494,68.8,0.0042,0.00185,0.0199,102.4601897,0.00166264,0.003078934,109.3382921,0.005884374,0.001,749,0.0016,0.102,NA,0.187894885,77.9,0,0.02,3.96,0.756101906,0
10,LCW23_050,384620,6461508,384620,6461506,nearDrain,distDrain,5.14,8.17,0.116,0.05,0.1166,0.6677,0.0481,68.9,0.0001,0.00166,0.0212,101.5450272,0.001559838,0.003619516,110.352652,0.005198482,0.001,759,0.0001,0.116,NA,0.187122326,77.2,0,0.01,3.95,0.775328133,0.001
